Date,Adj Close ^KLSE,Close ^KLSE,High ^KLSE,Low ^KLSE,Open ^KLSE,Volume ^KLSE,date,close
2024-10-18,1645.989990234375,1645.989990234375,1649.31005859375,1641.7099609375,1643.2900390625,166904600,2024-10-18,1645.989990234375
2024-10-21,1645.6800537109375,1645.6800537109375,1648.050048828125,1642.52001953125,1646.7099609375,130424800,2024-10-21,1645.6800537109375
2024-10-22,1642.5400390625,1642.5400390625,1648.31005859375,1642.3499755859375,1647.4599609375,166832000,2024-10-22,1642.5400390625
2024-10-23,1641.530029296875,1641.530029296875,1645.9000244140625,1641.530029296875,1644.2099609375,157102800,2024-10-23,1641.530029296875
2024-10-24,1632.22998046875,1632.22998046875,1643.0799560546875,1632.22998046875,1639.050048828125,183426400,2024-10-24,1632.22998046875
2024-10-25,1618.300048828125,1618.300048828125,1635.280029296875,1617.5999755859375,1633.02001953125,187850900,2024-10-25,1618.300048828125
2024-10-28,1610.469970703125,1610.469970703125,1630.3900146484375,1609.8699951171875,1622.3399658203125,165445500,2024-10-28,1610.469970703125
2024-10-29,1615.0799560546875,1615.0799560546875,1619.050048828125,1609.699951171875,1612.3699951171875,191664000,2024-10-29,1615.0799560546875
2024-10-30,1601.8800048828125,1601.8800048828125,1615.3599853515625,1601.449951171875,1614.9000244140625,258086300,2024-10-30,1601.8800048828125
2024-11-01,1603.97998046875,1603.97998046875,1607.0400390625,1589.27001953125,1591.06005859375,200505300,2024-11-01,1603.97998046875
2024-11-04,1616.4300537109375,1616.4300537109375,1616.4300537109375,1607.75,1607.75,149138400,2024-11-04,1616.4300537109375
2024-11-05,1620.699951171875,1620.699951171875,1620.699951171875,1613.9100341796875,1618.199951171875,165303900,2024-11-05,1620.699951171875
2024-11-06,1634.1700439453125,1634.1700439453125,1634.1700439453125,1623.52001953125,1624.4100341796875,186223800,2024-11-06,1634.1700439453125
2024-11-07,1623.280029296875,1623.280029296875,1639.550048828125,1622.75,1636.1400146484375,248637300,2024-11-07,1623.280029296875
2024-11-08,1621.239990234375,1621.239990234375,1627.6199951171875,1621.239990234375,1627.6199951171875,124916600,2024-11-08,1621.239990234375
2024-11-11,1609.260009765625,1609.260009765625,1627.22998046875,1609.239990234375,1625.6300048828125,139228000,2024-11-11,1609.260009765625
2024-11-12,1608.4300537109375,1608.4300537109375,1615.9599609375,1605.4300537109375,1610.02001953125,188480100,2024-11-12,1608.4300537109375
2024-11-13,1611.5,1611.5,1611.5400390625,1602.7099609375,1608.6099853515625,137174800,2024-11-13,1611.5
2024-11-14,1600.6800537109375,1600.6800537109375,1615.8399658203125,1598.6400146484375,1614.8900146484375,196289600,2024-11-14,1600.6800537109375
2024-11-15,1592.43994140625,1592.43994140625,1604.510009765625,1592.43994140625,1601.4300537109375,256533800,2024-11-15,1592.43994140625
